Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR6913240_1	(1, 36.70921224401333)	(2, 36.67450356772632)	(3, 36.73784478080367)	(4, 36.682411033657765)	(5, 36.74646293580109)	(6, 36.7295231662794)	(7, 36.72318408862948)	(8, 36.76138488601253)	(9, 36.74979628593558)	(12, 36.74633709511305)	(17, 36.739686187934424)	(22, 36.72732927081286)	(27, 36.70917544947304)	(32, 36.69870463056769)	(37, 36.6891711852753)	(42, 36.68541938672695)	(47, 36.67328990167008)	(52, 36.6641458845419)	(57, 36.655196298298804)	(62, 36.64344339194451)	(67, 36.62753727518056)	(72, 36.6229167603954)	(77, 36.61204819982757)	(82, 36.60272085484398)	(87, 36.57396710157878)	(92, 36.572283878763265)	(97, 36.553126428191845)	(102, 36.55333773411018)	(107, 36.53149445882847)	(112, 36.52151905076229)	(117, 36.491639240469326)	(122, 36.48375253253882)	(127, 36.48605819788672)	(132, 36.448866419344824)	(137, 36.45247082027077)	(142, 36.42197243483649)	(147, 36.39146416815887)	(150, 36.310646618725414)
ERR6913240_2	(1, 36.647333571909805)	(2, 36.60797349449006)	(3, 36.677392527180075)	(4, 36.64758390919309)	(5, 36.64306775739797)	(6, 36.620898626841196)	(7, 36.62120944830031)	(8, 36.66772009939566)	(9, 36.65276706703831)	(12, 36.66147258806748)	(17, 36.658853791265756)	(22, 36.644072802786305)	(27, 36.630861546681174)	(32, 36.60978869181129)	(37, 36.61251880343835)	(42, 36.598466655864904)	(47, 36.58020456855396)	(52, 36.5767742728906)	(57, 36.55881184491397)	(62, 36.55629809942674)	(67, 36.52771182994584)	(72, 36.52355188549186)	(77, 36.50551442461774)	(82, 36.51425284406322)	(87, 36.47838725940203)	(92, 36.47361956115321)	(97, 36.45484983283227)	(102, 36.44333582074468)	(107, 36.41892841469674)	(112, 36.40712159522279)	(117, 36.386792142903616)	(122, 36.377633288616565)	(127, 36.31690057736475)	(132, 36.298390816413885)	(137, 36.279101669411595)	(142, 36.283734869776616)	(147, 36.20127706227443)	(150, 36.072217363219465)
ERR6913306_1	(1, 36.556163589056474)	(2, 36.54060324202985)	(3, 36.635407240730245)	(4, 36.65453612981008)	(5, 36.66444427140252)	(6, 36.6561579502767)	(7, 36.657946249003146)	(8, 36.6556880519627)	(9, 36.66025009330838)	(12, 36.65469831185674)	(17, 36.65002295788905)	(22, 36.638679881102306)	(27, 36.62339717685093)	(32, 36.60155576618934)	(37, 36.591139426657705)	(42, 36.5924659827899)	(47, 36.5833110064862)	(52, 36.57657289875378)	(57, 36.55753355676677)	(62, 36.55449741299783)	(67, 36.546631283099984)	(72, 36.54605715103314)	(77, 36.52452017817234)	(82, 36.51781692966142)	(87, 36.50721378757363)	(92, 36.484349546265676)	(97, 36.47267549685561)	(102, 36.46921252399334)	(107, 36.45548652519987)	(112, 36.43396518885605)	(117, 36.44857226561605)	(122, 36.42178503463911)	(127, 36.42525601531692)	(132, 36.409924570297754)	(137, 36.41682941366456)	(142, 36.40778068166493)	(147, 36.36396537225879)	(150, 36.25984403623444)
ERR6913306_2	(1, 36.407941550020006)	(2, 36.52729035151079)	(3, 36.530069464396476)	(4, 36.49884136501433)	(5, 36.54382808703054)	(6, 36.51066132146146)	(7, 36.46947674808886)	(8, 36.49637909784894)	(9, 36.48688715190604)	(12, 36.502662846617135)	(17, 36.49109529269295)	(22, 36.48271767703755)	(27, 36.45234774623343)	(32, 36.44658437628383)	(37, 36.4277719788232)	(42, 36.42911205064642)	(47, 36.40818445734357)	(52, 36.397516348565915)	(57, 36.388364141101796)	(62, 36.39259538107211)	(67, 36.37296994620911)	(72, 36.348859037637965)	(77, 36.34430559310922)	(82, 36.31735097905936)	(87, 36.305238272557304)	(92, 36.297622744637145)	(97, 36.27492663426903)	(102, 36.253220703733255)	(107, 36.239303549454405)	(112, 36.22557964020587)	(117, 36.20288905132765)	(122, 36.14253783873755)	(127, 36.08977644972053)	(132, 36.047445619496685)	(137, 36.03008027141368)	(142, 36.00749338869833)	(147, 35.9655337981326)	(150, 35.915667078346104)
ERR6913312_1	(1, 36.613042036414775)	(2, 36.55443438028152)	(3, 36.65676454253785)	(4, 36.66947015977913)	(5, 36.67344565951343)	(6, 36.66810370660412)	(7, 36.6651270761498)	(8, 36.67344366177487)	(9, 36.66960600600121)	(12, 36.66461165960133)	(17, 36.65654159491456)	(22, 36.64340846162144)	(27, 36.626394920949494)	(32, 36.60713871897013)	(37, 36.59420589835108)	(42, 36.594717253252774)	(47, 36.58306583940744)	(52, 36.576855048068836)	(57, 36.55663725819703)	(62, 36.555229165790514)	(67, 36.54284948190607)	(72, 36.54043277737124)	(77, 36.52089405098631)	(82, 36.51495843247715)	(87, 36.5044865869442)	(92, 36.478953717243215)	(97, 36.46770409392121)	(102, 36.467554925769946)	(107, 36.44779707583109)	(112, 36.429588805272964)	(117, 36.45055654062078)	(122, 36.417151963530955)	(127, 36.425896713146706)	(132, 36.41247757555576)	(137, 36.412237685035244)	(142, 36.40255730059611)	(147, 36.36644706556929)	(150, 36.259330709450815)
ERR6913312_2	(1, 36.57578621001027)	(2, 36.63001082774299)	(3, 36.629890963429396)	(4, 36.60451169276379)	(5, 36.629990850357395)	(6, 36.59494652053875)	(7, 36.57085778898287)	(8, 36.598716253201374)	(9, 36.59189397601914)	(12, 36.60671160246601)	(17, 36.60132649840381)	(22, 36.58890695732431)	(27, 36.56112001214625)	(32, 36.552348341677224)	(37, 36.53340360279734)	(42, 36.5317832299739)	(47, 36.51735340529005)	(52, 36.5128516460422)	(57, 36.50101057372364)	(62, 36.50718176074354)	(67, 36.49061924554597)	(72, 36.46928043770765)	(77, 36.46894088627173)	(82, 36.45225943173415)	(87, 36.44293108720787)	(92, 36.42767347808111)	(97, 36.41468021586268)	(102, 36.403406058588324)	(107, 36.39060885728195)	(112, 36.37937762616633)	(117, 36.35320853344211)	(122, 36.310414761237475)	(127, 36.26103495823428)	(132, 36.22180103349326)	(137, 36.198947538605935)	(142, 36.183833765494015)	(147, 36.14603094387508)	(150, 36.09318122547784)
ERR6913316_1	(1, 36.66012733793511)	(2, 36.59758995522157)	(3, 36.688744887661336)	(4, 36.69067550996372)	(5, 36.69688306109865)	(6, 36.70305828123809)	(7, 36.68918135610051)	(8, 36.69183480708788)	(9, 36.69891298574434)	(12, 36.6913932580637)	(17, 36.679695442022435)	(22, 36.66813341616226)	(27, 36.650852037199115)	(32, 36.63354294595412)	(37, 36.62303267990167)	(42, 36.62617463550658)	(47, 36.616535650356646)	(52, 36.610988512433515)	(57, 36.59726540196107)	(62, 36.58707043915648)	(67, 36.58106669518112)	(72, 36.582836379510844)	(77, 36.561708449632164)	(82, 36.55185944579016)	(87, 36.54376988912704)	(92, 36.5279166231539)	(97, 36.51993626025255)	(102, 36.50952134478946)	(107, 36.50000991521429)	(112, 36.479764519961684)	(117, 36.49541911191538)	(122, 36.46982472498488)	(127, 36.46990775342735)	(132, 36.46576246522013)	(137, 36.45929370142745)	(142, 36.45648302508809)	(147, 36.41572339769879)	(150, 36.31234666104082)
ERR6913316_2	(1, 36.51324993476067)	(2, 36.63490685209263)	(3, 36.6213763304782)	(4, 36.605344775426595)	(5, 36.626946499130526)	(6, 36.60581126550444)	(7, 36.58155840016997)	(8, 36.590417092935446)	(9, 36.59434761824484)	(12, 36.60365155500541)	(17, 36.592872862978936)	(22, 36.57608152953321)	(27, 36.55024259793405)	(32, 36.540282803836305)	(37, 36.52004869649881)	(42, 36.52061464293877)	(47, 36.50531165982086)	(52, 36.49859640886696)	(57, 36.48690301338885)	(62, 36.49021987947996)	(67, 36.46912673164039)	(72, 36.45263058424358)	(77, 36.44968468937451)	(82, 36.431241561439435)	(87, 36.42466430461265)	(92, 36.40669734197594)	(97, 36.39724729542305)	(102, 36.37690902329656)	(107, 36.368850253768834)	(112, 36.351291841063386)	(117, 36.33447556620838)	(122, 36.28718150864632)	(127, 36.24079151292057)	(132, 36.18961098336966)	(137, 36.18581937707627)	(142, 36.151285741130074)	(147, 36.118317522039995)	(150, 36.08198752011863)
ERR6913335_1	(1, 36.6124072662809)	(2, 36.54314558299362)	(3, 36.67975683646348)	(4, 36.690571637700394)	(5, 36.682016720631864)	(6, 36.65906383042834)	(7, 36.63534257960756)	(8, 36.694867928602726)	(9, 36.68453900246202)	(12, 36.67708113360812)	(17, 36.671373921689984)	(22, 36.65786810060502)	(27, 36.64690012944114)	(32, 36.623827716474935)	(37, 36.61622416802711)	(42, 36.614064251205136)	(47, 36.602610397042156)	(52, 36.59660998320014)	(57, 36.59034510101092)	(62, 36.57695372497663)	(67, 36.5705271591458)	(72, 36.57204246720885)	(77, 36.555909817063515)	(82, 36.54395574093898)	(87, 36.53252588454731)	(92, 36.511605624148594)	(97, 36.50950849376208)	(102, 36.50592437196143)	(107, 36.4888261581299)	(112, 36.47380432298138)	(117, 36.49516413559439)	(122, 36.467548252074614)	(127, 36.4646843083177)	(132, 36.45873165258956)	(137, 36.457323512043864)	(142, 36.45291549996417)	(147, 36.41252703625785)	(150, 36.314326773770624)
ERR6913335_2	(1, 36.41919470283151)	(2, 36.57868477252383)	(3, 36.60790758580341)	(4, 36.571224643785754)	(5, 36.58481156960255)	(6, 36.50956998170749)	(7, 36.508861884668065)	(8, 36.591214574746296)	(9, 36.584904475951696)	(12, 36.575852384366115)	(17, 36.57128289857765)	(22, 36.562307643053806)	(27, 36.540071889426386)	(32, 36.530513834885326)	(37, 36.51364614164058)	(42, 36.510671175369154)	(47, 36.494608168643026)	(52, 36.48097287978935)	(57, 36.476523219987094)	(62, 36.47635870345605)	(67, 36.46577529683274)	(72, 36.450480888934166)	(77, 36.45075165329352)	(82, 36.43076591314691)	(87, 36.42654179600207)	(92, 36.41287773209164)	(97, 36.40719786252525)	(102, 36.39384766321528)	(107, 36.380795071256465)	(112, 36.36702050033938)	(117, 36.35569627658696)	(122, 36.311601652780055)	(127, 36.260145371702)	(132, 36.22036636706264)	(137, 36.21686672868861)	(142, 36.19147313858614)	(147, 36.163905349540094)	(150, 36.1176765636166)
ERR6913341_1	(1, 36.622169316120306)	(2, 36.552298413841875)	(3, 36.67355099996925)	(4, 36.678370531106005)	(5, 36.67289738510127)	(6, 36.65350505365528)	(7, 36.63166254496897)	(8, 36.67807183613945)	(9, 36.67243704344694)	(12, 36.67186372481409)	(17, 36.658882968676565)	(22, 36.645785018690404)	(27, 36.636307251698824)	(32, 36.59980321272792)	(37, 36.57776354223397)	(42, 36.5844108886797)	(47, 36.57292869313016)	(52, 36.57193868733101)	(57, 36.560979395475684)	(62, 36.551037906585336)	(67, 36.5367279451339)	(72, 36.538004499823955)	(77, 36.52024701939113)	(82, 36.50964691294918)	(87, 36.49510625063932)	(92, 36.46825806322552)	(97, 36.4584922407752)	(102, 36.453261399466314)	(107, 36.4348487970901)	(112, 36.41154977866831)	(117, 36.42871862290878)	(122, 36.40384745949753)	(127, 36.39973765208655)	(132, 36.393377391682044)	(137, 36.38856910588197)	(142, 36.383812234912945)	(147, 36.34640513752527)	(150, 36.27638619127559)
ERR6913341_2	(1, 36.44655776013916)	(2, 36.59217243484716)	(3, 36.61592571280479)	(4, 36.576469864752674)	(5, 36.60151807324176)	(6, 36.529741672779664)	(7, 36.50279060165073)	(8, 36.56978349007498)	(9, 36.564708311187445)	(12, 36.568798850902894)	(17, 36.56205783261661)	(22, 36.54867401397716)	(27, 36.52928097971949)	(32, 36.51068018993486)	(37, 36.49195564617195)	(42, 36.49459210084428)	(47, 36.484938652588454)	(52, 36.471636877860156)	(57, 36.467598612340495)	(62, 36.47093063831129)	(67, 36.44916300950193)	(72, 36.435408951294974)	(77, 36.435577107364736)	(82, 36.41883792781111)	(87, 36.413516429528485)	(92, 36.39661894609861)	(97, 36.39417915374794)	(102, 36.379854462098436)	(107, 36.3678530003308)	(112, 36.357137275621156)	(117, 36.34474701239212)	(122, 36.30569020160915)	(127, 36.262801753213765)	(132, 36.22128525545692)	(137, 36.21938744750428)	(142, 36.18975808588489)	(147, 36.161189541180285)	(150, 36.120351636225664)
ERR6913345_1	(1, 36.6235070320834)	(2, 36.559178066851516)	(3, 36.68243822521428)	(4, 36.6854399769633)	(5, 36.683686046435525)	(6, 36.669282291918904)	(7, 36.627251222915696)	(8, 36.67651325591897)	(9, 36.675693009801506)	(12, 36.66642306520448)	(17, 36.6535191685264)	(22, 36.63652713029479)	(27, 36.62197939640647)	(32, 36.49892124546519)	(37, 36.48768047710822)	(42, 36.53570941614878)	(47, 36.53178696764399)	(52, 36.56431116117244)	(57, 36.573181461550874)	(62, 36.56826550985939)	(67, 36.57159305133225)	(72, 36.58570695953462)	(77, 36.57371827612327)	(82, 36.56707039765451)	(87, 36.554799734391025)	(92, 36.53845986167831)	(97, 36.5333069649931)	(102, 36.53501439939036)	(107, 36.526316197537696)	(112, 36.50806313086294)	(117, 36.52015401126028)	(122, 36.50274710299864)	(127, 36.503843607704354)	(132, 36.49321496312336)	(137, 36.49343536663786)	(142, 36.48502271739634)	(147, 36.44479870270379)	(150, 36.336830344941475)
ERR6913345_2	(1, 36.491805901263604)	(2, 36.61677272419879)	(3, 36.6383281813442)	(4, 36.59970244263186)	(5, 36.59364658299865)	(6, 36.547832056061786)	(7, 36.52568541089022)	(8, 36.584423177188434)	(9, 36.597753630934335)	(12, 36.59014395755663)	(17, 36.582743417852136)	(22, 36.57234839808406)	(27, 36.56288968053304)	(32, 36.472584509710245)	(37, 36.46368385059695)	(42, 36.506585657237856)	(47, 36.50560219251899)	(52, 36.49532163509844)	(57, 36.48686518172724)	(62, 36.497909031279114)	(67, 36.49432835593116)	(72, 36.48373501239316)	(77, 36.482069380898906)	(82, 36.461009439367615)	(87, 36.45394928525657)	(92, 36.438456664549626)	(97, 36.43992043945409)	(102, 36.43005958264658)	(107, 36.4254401702926)	(112, 36.414011646684926)	(117, 36.40082352406304)	(122, 36.36217080726315)	(127, 36.320277922218814)	(132, 36.27519508943896)	(137, 36.28128911493033)	(142, 36.25638651678064)	(147, 36.22476075527227)	(150, 36.172411013828246)
