Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR6913240_1	(1, 0.007728533577958223)	(2, 0.06157625122438453)	(3, 0.0)	(4, 0.0006720463980833237)	(5, 0.002940202991614541)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0017641217949687245)	(12, 0.00026881855923332944)	(17, 0.0)	(22, 0.00010080695971249856)	(27, 0.00035282435899374495)	(32, 0.004385102747493687)	(37, 0.002957564163598334)	(42, 0.0)	(47, 0.0)	(52, 0.0)	(57, 1.684655701018088e-05)	(62, 0.0007591890983144821)	(67, 0.0019277532205315864)	(72, 0.0016295054552787319)	(77, 0.0)	(82, 0.0006722194289685551)	(87, 0.0011719058144544262)	(92, 0.0013747883807885286)	(97, 0.0007902526198712147)	(102, 0.0005137450587714833)	(107, 0.0)	(112, 0.00020823971222937689)	(117, 0.004852496192107909)	(122, 0.0034316652271449356)	(127, 0.00012308307344342377)	(132, 0.0026939951110527558)	(137, 0.0)	(142, 0.0022077366850356325)	(147, 0.0035446332158555957)	(150, 0.0)
ERR6913240_2	(1, 0.052923653849061746)	(2, 0.0015121043956874782)	(3, 0.009408649573166531)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00554438278418742)	(9, 0.0)	(12, 0.001293689316310398)	(17, 6.720463980833236e-05)	(22, 0.0002016139194249971)	(27, 0.00035282435899374495)	(32, 0.005241961905049925)	(37, 0.0032768339935733727)	(42, 0.0)	(47, 3.363522630705228e-05)	(52, 0.0)	(57, 0.0)	(62, 0.015757572281114417)	(67, 0.007829508147930693)	(72, 0.0028516834353008195)	(77, 0.0006489271611707944)	(82, 0.0015685484996919785)	(87, 0.0002623754175923417)	(92, 5.356467559625518e-05)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.00015369644337647373)	(122, 2.3185679967595693e-05)	(127, 9.845838779312908e-05)	(132, 0.00010460921267183697)	(137, 0.0)	(142, 5.9662596086611e-05)	(147, 0.0)	(150, 0.0)
ERR6913306_1	(1, 0.09236858286723895)	(2, 0.17319109287607307)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00026851332228848535)	(9, 0.0010740532891539414)	(12, 0.0)	(17, 0.00021481065783078828)	(22, 0.0)	(27, 0.0)	(32, 0.004994347794565828)	(37, 0.007201157344213171)	(42, 5.3868600477599014e-05)	(47, 0.00021638242130847532)	(52, 0.0008718984935773777)	(57, 5.5078302068135164e-05)	(62, 0.0)	(67, 0.0002278367526883313)	(72, 0.0005829435384206428)	(77, 5.983792300175743e-05)	(82, 0.00024641087164765707)	(87, 0.0001272375518731594)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 7.356679018530738e-05)	(112, 0.0)	(117, 0.00023916502705753672)	(122, 8.311653769750567e-05)	(127, 8.676992866644165e-05)	(132, 0.0001812559587896452)	(137, 9.467195693562022e-05)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR6913306_2	(1, 0.013694179436712752)	(2, 0.00402769983432728)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.000805539966865456)	(9, 0.0)	(12, 0.0)	(17, 0.00021481065783078828)	(22, 0.0)	(27, 0.0)	(32, 0.005907293090346678)	(37, 0.006824984818439282)	(42, 0.0002154749822771827)	(47, 0.0)	(52, 0.00010898754926237226)	(57, 0.0)	(62, 5.589449355396753e-05)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0005544333414034186)	(87, 0.00012723933273149128)	(92, 0.0002633713641583178)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 7.972834956735411e-05)	(122, 0.00016624813698181494)	(127, 0.0)	(132, 0.07486583516645866)	(137, 0.0005681307079382062)	(142, 0.0)	(147, 0.0)	(150, 0.0)
ERR6913312_1	(1, 0.09189597375770628)	(2, 0.16321524034792614)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0003995477119900273)	(8, 0.0005993215679850409)	(9, 0.0011986431359700819)	(12, 0.0)	(17, 0.00015981908479601093)	(22, 0.0)	(27, 0.0)	(32, 0.006113079993447418)	(37, 0.007957479070630425)	(42, 0.00012028338766133009)	(47, 0.0004028914715127527)	(52, 0.0009745254974445099)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0004822911460114522)	(77, 0.00013574537786988354)	(82, 4.688252317989152e-05)	(87, 0.00014625556502424918)	(92, 5.087937365455856e-05)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0005918735758042083)	(122, 0.0001392836225441686)	(127, 7.396827204938713e-05)	(132, 0.0003144963144963145)	(137, 0.0)	(142, 0.0)	(147, 9.580636384191182e-05)	(150, 0.0)
ERR6913312_2	(1, 0.014183943775645969)	(2, 0.0019977385599501364)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0005993215679850409)	(9, 0.0)	(12, 0.0)	(17, 7.990954239800547e-05)	(22, 0.0)	(27, 0.0)	(32, 0.0069521301886264755)	(37, 0.007597596120587446)	(42, 0.00016037817172893685)	(47, 0.0)	(52, 0.00016242170766122893)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.001359651179145764)	(87, 0.0003412807877930688)	(92, 0.0008141217559792154)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 6.577168936557286e-05)	(122, 6.965233732348356e-05)	(127, 7.398228124364216e-05)	(132, 0.0734546987413608)	(137, 0.0012556672448316736)	(142, 0.0)	(147, 9.59297947390182e-05)	(150, 0.0)
ERR6913316_1	(1, 0.09560737239071546)	(2, 0.1759729897626212)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0011546784105158873)	(8, 0.0)	(9, 0.0006928070463095323)	(12, 0.0)	(17, 0.00013856140926190647)	(22, 0.0)	(27, 0.0)	(32, 0.008867930192762014)	(37, 0.010865951609987242)	(42, 4.637590827216351e-05)	(47, 0.0001399153232463713)	(52, 0.00061247200296248)	(57, 4.785547646108752e-05)	(62, 0.0)	(67, 5.053064759572652e-05)	(72, 0.00031578963988928416)	(77, 0.0)	(82, 0.00023453601447087207)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.000804434040430855)	(122, 0.00010958435749047438)	(127, 0.00011960420576229142)	(132, 0.00013061275668672007)	(137, 0.00014297867473066393)	(142, 0.0)	(147, 0.00017365452474229668)	(150, 0.0)
ERR6913316_2	(1, 0.015010819336706534)	(2, 0.0011546784105158873)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(12, 0.0)	(17, 0.00013856140926190647)	(22, 0.0)	(27, 0.0)	(32, 0.009976421466857266)	(37, 0.010680999242157674)	(42, 4.6375843750507236e-05)	(47, 0.0)	(52, 0.00023556560007274266)	(57, 0.0)	(62, 4.897339520305594e-05)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0017002774383737375)	(87, 0.0005006614990055612)	(92, 0.001209633521364144)	(97, 7.242125998508122e-05)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.0)	(122, 0.0)	(127, 0.00011956445061928407)	(132, 0.07637285095283292)	(137, 0.0012859733174825215)	(142, 0.0001566779265869907)	(147, 0.0001734816022760786)	(150, 0.0)
ERR6913335_1	(1, 0.09767721572226526)	(2, 0.16635258461696845)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0012554912046563657)	(8, 0.0005021964818625463)	(9, 0.000878843843259456)	(12, 0.0)	(17, 0.00022598841683814583)	(22, 0.0)	(27, 0.0)	(32, 0.010747004711858492)	(37, 0.00914683177870698)	(42, 2.5231193425356545e-05)	(47, 0.0001011278281029178)	(52, 0.0004817626223708756)	(57, 2.5444891200189718e-05)	(62, 0.0)	(67, 5.146634037006872e-05)	(72, 0.00028550790428633017)	(77, 7.874927255359479e-05)	(82, 5.3260600657076034e-05)	(87, 0.0)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 0.00047433685167046197)	(122, 3.551804849634342e-05)	(127, 3.730558195961745e-05)	(132, 0.00019622340584180627)	(137, 8.268395422781662e-05)	(142, 4.356182381158988e-05)	(147, 0.0)	(150, 0.0)
ERR6913335_2	(1, 0.013057108528426205)	(2, 0.0027620806502440046)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00025109824093127314)	(9, 0.0)	(12, 0.0)	(17, 0.00025109824093127314)	(22, 0.0)	(27, 0.0)	(32, 0.011726287851490456)	(37, 0.008945793517013594)	(42, 0.00010092477370142618)	(47, 0.0)	(52, 7.606809108393226e-05)	(57, 0.0)	(62, 2.556738501643855e-05)	(67, 0.0)	(72, 0.0)	(77, 0.0)	(82, 0.0009853554869653448)	(87, 0.00018993872847960288)	(92, 0.0005839096196885426)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 0.0)	(117, 6.777023720938428e-05)	(122, 0.0003552262844716027)	(127, 0.0)	(132, 0.07065085134275868)	(137, 0.0007442691277165823)	(142, 4.356840959184678e-05)	(147, 4.6210849013444583e-05)	(150, 0.0)
ERR6913341_1	(1, 0.08758790636791312)	(2, 0.17025613093381708)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0007906631467514726)	(8, 0.00035140584300065447)	(9, 0.0010542175290019634)	(12, 1.7570292150032725e-05)	(17, 0.00017570292150032724)	(22, 0.0)	(27, 0.0)	(32, 0.029728934317855372)	(37, 0.024600999783222402)	(42, 8.860998404134187e-05)	(47, 0.00021410040274069924)	(52, 0.0006661451530288451)	(57, 1.8160705536145798e-05)	(62, 0.0)	(67, 0.00020396716128703277)	(72, 0.0005454625136530208)	(77, 0.00019111739844881472)	(82, 0.00011668252900824906)	(87, 0.00011901807706063437)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 2.2135122972782433e-05)	(112, 2.2926136116138303e-05)	(117, 0.0003096851407352211)	(122, 2.4825218052302763e-05)	(127, 2.59534923797951e-05)	(132, 0.00010883021126664762)	(137, 2.8596462731945912e-05)	(142, 3.0077223270747644e-05)	(147, 3.182729744550928e-05)	(150, 0.0)
ERR6913341_2	(1, 0.01361697641627536)	(2, 0.0026355438225049085)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0006149602252511453)	(9, 0.0)	(12, 5.271087645009817e-05)	(17, 0.00022841379795042542)	(22, 0.0)	(27, 0.0)	(32, 0.03062501921750704)	(37, 0.02417832012976344)	(42, 0.00019494227581992723)	(47, 0.0)	(52, 7.20153291829699e-05)	(57, 0.0)	(62, 7.331219742681518e-05)	(67, 1.854270644893079e-05)	(72, 0.0)	(77, 1.9112119721375875e-05)	(82, 0.0007973486019756353)	(87, 0.00011902109906860038)	(92, 0.0005073021065212671)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 2.2927707790949747e-05)	(117, 7.147142024670981e-05)	(122, 0.0002482731362011529)	(127, 0.0)	(132, 0.07208192686500761)	(137, 0.00040046740266854315)	(142, 0.0)	(147, 0.0001274308225850744)	(150, 0.0)
ERR6913345_1	(1, 0.09060520056399193)	(2, 0.16164956729835797)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0006544516894670363)	(8, 0.0004363011263113576)	(9, 0.0010180359613931676)	(12, 0.0)	(17, 0.00018906382140158827)	(22, 0.0)	(27, 0.0)	(32, 0.25360730135391507)	(37, 0.17827752818662634)	(42, 5.955777163406276e-05)	(47, 0.00018317017195863103)	(52, 0.0004537396247573304)	(57, 0.0)	(62, 0.0)	(67, 6.871854515968043e-05)	(72, 0.0003849478395677386)	(77, 8.90678479675964e-05)	(82, 7.235312812418546e-05)	(87, 5.5332544906049026e-05)	(92, 0.0)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 2.2331627345881623e-05)	(117, 0.00028298222706541067)	(122, 4.9866333293606486e-05)	(127, 2.6465871861246845e-05)	(132, 0.0001126551437352897)	(137, 0.0)	(142, 3.205775525186176e-05)	(147, 3.446800869007435e-05)	(150, 0.0)
ERR6913345_2	(1, 0.012870883226185048)	(2, 0.0023996561947124666)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.00014543370877045253)	(9, 0.0)	(12, 0.0)	(17, 0.00011634696701636202)	(22, 0.0)	(27, 0.0)	(32, 0.2543781000103985)	(37, 0.17799740504319614)	(42, 4.466792302644832e-05)	(47, 0.0)	(52, 8.102442092251489e-05)	(57, 0.0)	(62, 0.0)	(67, 0.0)	(72, 1.7497693366571954e-05)	(77, 0.0)	(82, 0.0009767742969440892)	(87, 0.0002213310777237279)	(92, 0.000605052185751021)	(97, 0.0)	(102, 0.0)	(107, 0.0)	(112, 2.233244524642737e-05)	(117, 0.0)	(122, 7.480390157202893e-05)	(127, 0.0)	(132, 0.06946382993586848)	(137, 0.000722680204072845)	(142, 0.0)	(147, 6.902163897403475e-05)	(150, 0.0)
