Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
ERR6913306_1	(37, 736.0)	(42, 1193.0)	(47, 2182.0)	(52, 3436.0)	(57, 4708.0)	(62, 6134.0)	(67, 7491.0)	(72, 8686.0)	(77, 9190.0)	(82, 10082.0)	(87, 10551.0)	(92, 10717.0)	(97, 10658.0)	(102, 10618.0)	(107, 10460.0)	(112, 10532.0)	(117, 10346.0)	(122, 10212.0)	(127, 9906.0)	(132, 9628.0)	(137, 9124.0)	(142, 9027.0)	(147, 28266.0)	(151, 168538.0)
ERR6913306_2	(37, 737.0)	(42, 1193.0)	(47, 2181.0)	(52, 3437.0)	(57, 4706.0)	(62, 6133.0)	(67, 7488.0)	(72, 8689.0)	(77, 9198.0)	(82, 10080.0)	(87, 10549.0)	(92, 10721.0)	(97, 10660.0)	(102, 10622.0)	(107, 10466.0)	(112, 10535.0)	(117, 10347.0)	(122, 10211.0)	(127, 9908.0)	(132, 9621.0)	(137, 9160.0)	(142, 9064.0)	(147, 28512.0)	(151, 168203.0)
ERR6913312_1	(37, 1146.0)	(42, 1843.0)	(47, 3212.0)	(52, 4905.0)	(57, 7040.0)	(62, 9359.0)	(67, 11729.0)	(72, 13446.0)	(77, 14942.0)	(82, 16036.0)	(87, 16863.0)	(92, 17442.0)	(97, 17831.0)	(102, 18060.0)	(107, 18068.0)	(112, 17659.0)	(117, 17068.0)	(122, 16995.0)	(127, 16210.0)	(132, 15642.0)	(137, 14945.0)	(142, 14427.0)	(147, 35216.0)	(151, 180482.0)
ERR6913312_2	(37, 1147.0)	(42, 1843.0)	(47, 3212.0)	(52, 4908.0)	(57, 7036.0)	(62, 9363.0)	(67, 11735.0)	(72, 13445.0)	(77, 14950.0)	(82, 16041.0)	(87, 16867.0)	(92, 17446.0)	(97, 17834.0)	(102, 18064.0)	(107, 18066.0)	(112, 17659.0)	(117, 17073.0)	(122, 17002.0)	(127, 16225.0)	(132, 15674.0)	(137, 14996.0)	(142, 14517.0)	(147, 35291.0)	(151, 180172.0)
ERR6913316_1	(37, 1166.0)	(42, 1771.0)	(47, 3550.0)	(52, 5521.0)	(57, 8354.0)	(62, 11313.0)	(67, 14406.0)	(72, 17690.0)	(77, 19674.0)	(82, 21396.0)	(87, 21898.0)	(92, 21485.0)	(97, 21353.0)	(102, 20384.0)	(107, 19227.0)	(112, 18045.0)	(117, 16924.0)	(122, 15792.0)	(127, 14467.0)	(132, 13612.0)	(137, 12580.0)	(142, 12007.0)	(147, 22527.0)	(151, 97879.0)
ERR6913316_2	(37, 1166.0)	(42, 1770.0)	(47, 3549.0)	(52, 5523.0)	(57, 8346.0)	(62, 11310.0)	(67, 14406.0)	(72, 17683.0)	(77, 19670.0)	(82, 21395.0)	(87, 21891.0)	(92, 21494.0)	(97, 21354.0)	(102, 20381.0)	(107, 19222.0)	(112, 18042.0)	(117, 16907.0)	(122, 15782.0)	(127, 14463.0)	(132, 13592.0)	(137, 12560.0)	(142, 11987.0)	(147, 22421.0)	(151, 98107.0)
ERR6913335_1	(37, 3346.0)	(42, 1329.0)	(47, 2071.0)	(52, 2541.0)	(57, 3236.0)	(62, 4530.0)	(67, 5917.0)	(72, 7916.0)	(77, 9819.0)	(82, 12469.0)	(87, 16123.0)	(92, 20816.0)	(97, 24133.0)	(102, 26871.0)	(107, 26673.0)	(112, 27415.0)	(117, 27344.0)	(122, 27224.0)	(127, 26474.0)	(132, 26337.0)	(137, 25117.0)	(142, 24092.0)	(147, 64230.0)	(151, 380478.0)
ERR6913335_2	(37, 3345.0)	(42, 1331.0)	(47, 2072.0)	(52, 2544.0)	(57, 3241.0)	(62, 4534.0)	(67, 5919.0)	(72, 7920.0)	(77, 9823.0)	(82, 12470.0)	(87, 16131.0)	(92, 20818.0)	(97, 24136.0)	(102, 26883.0)	(107, 26675.0)	(112, 27428.0)	(117, 27353.0)	(122, 27220.0)	(127, 26480.0)	(132, 26337.0)	(137, 25106.0)	(142, 24132.0)	(147, 64507.0)	(151, 380096.0)
ERR6913341_1	(37, 7469.0)	(42, 6481.0)	(47, 9221.0)	(52, 10276.0)	(57, 9261.0)	(62, 11455.0)	(67, 14314.0)	(72, 16502.0)	(77, 17444.0)	(82, 19016.0)	(87, 21884.0)	(92, 23868.0)	(97, 26620.0)	(102, 28728.0)	(107, 30658.0)	(112, 32110.0)	(117, 33626.0)	(122, 34879.0)	(127, 35072.0)	(132, 35945.0)	(137, 35023.0)	(142, 33302.0)	(147, 92723.0)	(151, 552408.0)
ERR6913341_2	(37, 7469.0)	(42, 6478.0)	(47, 9219.0)	(52, 10275.0)	(57, 9272.0)	(62, 11462.0)	(67, 14316.0)	(72, 16508.0)	(77, 17447.0)	(82, 19015.0)	(87, 21895.0)	(92, 23861.0)	(97, 26628.0)	(102, 28739.0)	(107, 30665.0)	(112, 32126.0)	(117, 33622.0)	(122, 34887.0)	(127, 35090.0)	(132, 36007.0)	(137, 35157.0)	(142, 33592.0)	(147, 92153.0)	(151, 552402.0)
ERR6913345_1	(37, 24896.0)	(42, 21735.0)	(47, 60309.0)	(52, 73663.0)	(57, 11226.0)	(62, 12198.0)	(67, 18893.0)	(72, 22561.0)	(77, 16749.0)	(82, 19392.0)	(87, 24011.0)	(92, 31459.0)	(97, 36549.0)	(102, 42339.0)	(107, 44873.0)	(112, 47304.0)	(117, 46753.0)	(122, 46013.0)	(127, 45906.0)	(132, 46184.0)	(137, 42621.0)	(142, 39931.0)	(147, 92168.0)	(151, 507464.0)
ERR6913345_2	(37, 24889.0)	(42, 21727.0)	(47, 60311.0)	(52, 73671.0)	(57, 11227.0)	(62, 12201.0)	(67, 18899.0)	(72, 22561.0)	(77, 16752.0)	(82, 19389.0)	(87, 24010.0)	(92, 31469.0)	(97, 36550.0)	(102, 42339.0)	(107, 44884.0)	(112, 47316.0)	(117, 46759.0)	(122, 46020.0)	(127, 45955.0)	(132, 46308.0)	(137, 42845.0)	(142, 40209.0)	(147, 92774.0)	(151, 506132.0)
