Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR6913306_2	(1.0, 87.46139182944734)	(2.0, 9.88771045396566)	(3.0, 1.5027631821302434)	(4.0, 0.39986528741932587)	(5.0, 0.2399267796723047)	(6.0, 0.1256556158071555)	(7.0, 0.09236087344252232)	(8.0, 0.07332724355306482)	(9.0, 0.03506726576887154)	('>10', 0.18193146879350292)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913312_1	(1.0, 87.41857887277312)	(2.0, 8.636332221038966)	(3.0, 1.5527018592285182)	(4.0, 0.6518881053749147)	(5.0, 0.37085977345060916)	(6.0, 0.2494922835657915)	(7.0, 0.19367770067213236)	(8.0, 0.1500522935136239)	(9.0, 0.1222446241237094)	('>10', 0.6429385739850967)	('>50', 0.011233692273507666)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913312_2	(1.0, 87.56015795111831)	(2.0, 8.533824556989046)	(3.0, 1.5331724996475364)	(4.0, 0.6042799693877714)	(5.0, 0.39478311622355466)	(6.0, 0.270871840121564)	(7.0, 0.1899680265899334)	(8.0, 0.13615524128113143)	(9.0, 0.14359909435424942)	('>10', 0.6217545129154245)	('>50', 0.01143319137146032)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913316_1	(1.0, 90.94502583284796)	(2.0, 8.265764072482153)	(3.0, 0.7219628704170047)	(4.0, 0.050496912484511644)	(5.0, 0.008078811425457376)	(6.0, 0.005395042222016557)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.003276458120881595)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913316_2	(1.0, 91.058020449912)	(2.0, 8.163648596699128)	(3.0, 0.7168215186511094)	(4.0, 0.04904846557825094)	(5.0, 0.008077264757987519)	(6.0, 0.0)	(7.0, 0.001989110647915393)	(8.0, 0.0)	(9.0, 0.002394593753632846)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913335_1	(1.0, 31.53032533344538)	(2.0, 8.228755250956679)	(3.0, 4.773317755482346)	(4.0, 3.694249410523472)	(5.0, 3.006470659554702)	(6.0, 2.488555447679069)	(7.0, 2.1898841839809045)	(8.0, 1.9217590232495287)	(9.0, 1.6619997995964604)	('>10', 24.177312304590103)	('>50', 7.3616675450837015)	('>100', 7.826072108855725)	('>500', 0.8317558300370035)	('>1k', 0.30787534696493535)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913335_2	(1.0, 32.08365446696045)	(2.0, 8.11549755179524)	(3.0, 4.693254335011667)	(4.0, 3.555505973059049)	(5.0, 3.005207773807201)	(6.0, 2.5085933878339324)	(7.0, 2.191548465544951)	(8.0, 1.9739977380828486)	(9.0, 1.6572545854649863)	('>10', 24.129472359092798)	('>50', 7.535385722132566)	('>100', 7.549524136490546)	('>500', 0.6888909968369549)	('>1k', 0.312212507886754)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913341_1	(1.0, 38.346679889588145)	(2.0, 9.186504562760774)	(3.0, 5.114363863505328)	(4.0, 3.765448490350016)	(5.0, 3.048221588010186)	(6.0, 2.6514405222114132)	(7.0, 2.22431721589798)	(8.0, 1.932129516566076)	(9.0, 1.7832517439560225)	('>10', 23.35090675586898)	('>50', 5.092347643459058)	('>100', 3.3800014990768625)	('>500', 0.1243867087491485)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913341_2	(1.0, 38.8871590788071)	(2.0, 9.288239019855446)	(3.0, 4.994841725564708)	(4.0, 3.744631683594685)	(5.0, 3.134197890141362)	(6.0, 2.543865501526119)	(7.0, 2.301144682640923)	(8.0, 2.0341773893092308)	(9.0, 1.7741538003356878)	('>10', 22.809376651560495)	('>50', 4.973685819073083)	('>100', 3.3283504337647796)	('>500', 0.08669208949307146)	('>1k', 0.0994842343333442)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913345_1	(1.0, 22.4617898532807)	(2.0, 6.841262465353259)	(3.0, 3.93491214396541)	(4.0, 2.9284875436777784)	(5.0, 2.417190205010885)	(6.0, 1.9849640376398414)	(7.0, 1.7304227384210367)	(8.0, 1.584163658649218)	(9.0, 1.373282355104866)	('>10', 23.78762756906047)	('>50', 9.591780138088453)	('>100', 16.81059653102724)	('>500', 2.463538986969312)	('>1k', 2.0899817737515076)	('>5k', 0.0)	('>10k+', 0.0)
ERR6913345_2	(1.0, 22.712748741701855)	(2.0, 6.817662682433609)	(3.0, 3.936993179678717)	(4.0, 2.913506301183747)	(5.0, 2.3526134925943807)	(6.0, 2.034026072424892)	(7.0, 1.7480837869126935)	(8.0, 1.541174899125992)	(9.0, 1.392484699206784)	('>10', 23.895039088679734)	('>50', 9.500901564673956)	('>100', 16.6043041295126)	('>500', 2.8661507155138115)	('>1k', 1.6843106463572293)	('>5k', 0.0)	('>10k+', 0.0)
